"Enabled","Ativar"
"Rest to pay:","Falta a autorizar:"
"on Credit Card nº","no Cartão de Crédito nº"
"authorized","autorizado"
"not authorized","não autorizado"
"Choose a payment method above to complete your order","Escolha um método de pagamento abaixo para concluir seu pedido"
"Order cancelled","Pedido cancelado"
"You cannot capture having ClearSale activated.","Você tem ClearSale ativado, seu pedido será analisado pelo mesmo."
"You cannot capture Boleto Bancário.","Você não pode capturar um Boleto Bancário, o pagamento será notificado pela sua URL de retorno."
"Try again!","Tente novamente por favor."
"Address_2","Número"
"Address_3","Bairro"
"CPF or CNPJ is invalid","O CPF ou CNPJ informado é inválido"
"Grand Total","Valor Total"
"click to update","clique para atualizar"
"Product Name","Produto"
"Price","Valor"
"Qty","Qtd"
"Order #%s - %s","Pedido #%s - %s"
"Order Date: %s","Data do pedido: %s"
"Billing Address","Endereço de Cobrança"
"Shipping Address","Endereço de Envio"
"Shipping Method","Método de Envio"
"Shipping & Handling","Envio"
"Discount","Desconto"
"Continue Shopping","Continuar comprando"
"Unable to capture order.","Impossível capturar o pedido."
"Unable to void order.","Impossível cancelar o pedido."
"Unable to refund order.","Impossível estornar o pedido."
"Interest","Juros Cartões"
"Installments default","Parcelamentos Padrões"
"Add Installment Boundary","Adicionar Parcela"
"Amount (incl.)","Total 'Até' - (menor ou igual)"
"Maximum Number of Installments","Número da Parcela"
"Interest Rate (%)","Taxa de Juros (%)"
"Installments and Interest","Parcelamentos e Juros"
"Installments for Visa","Parcelamentos para Visa"
"Installments for Mastercard","Parcelamentos para Mastercard"
"Installments for Amex","Parcelamentos para Amex"
"Installments for Diners","Parcelamentos para Diners"
"Installments for Elo","Parcelamentos para Elo"
"Installments for Hipercard","Parcelamentos para Hipercard"
"The flag is automatically selected after entering the credit card number below.","A bandeira será selecionada automaticamente após digitar o Número do Cartão de Crédito abaixo."
"The taxvat is invalid","O CPF ou CNPJ informado é inválido"
"Check the values to pass on each card","Confira os valores a passar em cada cartão"
"Expiration date of the incorrect card","Data de expiração do Cartão incorreta"
"The payment finishes after the credit card expiration date","A data de expiração do seu cartão é menor do que o final do ciclo de pagamento"
"Total amount with interest: USD{%%%}","<b>Valor total c/ juros: </b>R${%%%}"
"with interest","c/ juros"
"without interest","s/ juros"
"Daily","Diário"
"Weekly","Semanal"
"Monthly","Mensal"
"Yearly","Anual"
"Quarterly","Trimestral"
"Biannual","Semestral"
"it is not possible to divide by %s times","Não é possível dividir em %s vezes"
"Probably you had not installed the old version.","Provavelmente você não tinha instalado a versão antiga."
"The old settings have been successfully restored! Please check and make tests in your store.","As configurações antigas foram restauradas com sucesso! Por favor, verifique e fazer testes em sua loja."
"Set old settings","Resetar configurações antigas"
"If you just update the module and its old version is below 2.0.0, you can click this button to generate the installments as were set in the old version of the module.","Se você acabou de atualizar o módulo e sua versão antiga está abaixo 2.0.0, você pode clicar neste botão para gerar as parcelas como foram definidas na versão antiga do módulo."
"If you have already set manually, CAUTION! This function will reset all installments.","Se você já tiver configurado manualmente, CUIDADO! Esta função irá repor todas as parcelas."
"Environment FControl","Ambiente FControl"
"FControl sandbox key","Chave FControl sandbox"
"FControl production key","Chave FControl produção"
"Production","Produção"
"Max time to retry in minutes","Tempo máximo para retentativa em minutos"
"Max time to wait for an authorization. After this, the order will be cancelled.","Tempo máximo para esperar por uma autorização. Após este prazo, pedido será cancelado."
"Fingerprint environment","Ambiente fingerprint"
"Unable to save product configuration","Não foi possível salvar a configuração do produto"
"Internal error","Erro interno"
"With Error","Com erro"
"Anti fraud","Antifraude"
"Yes","Sim"
"No","Não"
"Module Basic Configuration","Configuração Básica do Módulo"
"Credit Card Basic Configuration","Configuração Básica - Cartão de Crédito"
"Installment","Parcelamento"
"Enable customer to save his cards for future purchases.Creditcard numbers are saved in Mundipagg, the store only save a token to the customer card.","Possibilita o cliente salvar seus cartões para compras futuras. Os números de cartão são salvos na Mundipagg, a loja armazena apenas um token do cartão."
"Version","Versão"
"Anti Fraud Provider","Fornecedor Anti-fraude"
"Order Minimum Value","Valor Mínimo do Pedido"
"Order minimum value for antifraud %s can't be negative","Valor mínimo do pedido para o antifraude %s não pode ser negativo"
"Valid formats: 0.00 - 0,00","Formatos válidos: 0,00 - 0.00"
"Order minimum value '%s' for antifraud %s isn't in the valid format","Valor mínimo do carrinho '%s' informado para o antifraude %s não está no formato válido"
"Offline Retry","Retentativa Offline"
"Offline retry can't be used with more than 1 creditcard payment method yet. This feature will be available comming soon.","A retentativa offline ainda não pode ser utilizada em conjunto com métodos de pagamento de mais de 1 cartão. Funcionalidade será disponibilizada em versões futuras do módulo Mundipagg."
"Recurrency frequency is required","Frequência da recorrência é obrigatória"
"Integration error","Erro na integração"
"Integration timeout limit","Limite para timeout na integração"
"Integration timeout limit must be an numeric value","Limite para timeout na integração precisa ser numérico"
"In seconds","Em segundos"
"Capture was not authorized in MundiPagg","Captura não foi autorizada na MundiPagg"
"Transactions already captured","Transações já foram capturadas"
"Masked number","Número mascarado"
"Amount","Valor"
"Authorization code","Código da autorização"
"Transaction ID","ID da transação"
"Acquirer message","Retorno da adquirente"
"Back to shopping cart", "Voltar para carrinho de compras"
"Not authorized credit card", "Cartão não autorizado"
"by", "por"
"Days", "dias"
"Weeks", "semanas"
"Months", "meses"
"Quarters", "trimestres"
"Semester", "semestres"
"Years", "anos"
"Recurrent payment", "Pagamento recorrente"
